,Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Adj Close,QQQ_Volume,IWM_Open,IWM_High,IWM_Low,IWM_Close,IWM_Adj Close,IWM_Volume,unemployment_Actual,unemployment_Forecast,unemployment_Previous,Announcement_Day
83,5/2/2018,264.76001,265.679993,262.76001,263.200012,238.247894,86368900,163.059998,163.570007,161.630005,161.820007,155.314438,38646800,153.779999,155.779999,153.679993,154.649994,143.012054,16786800,4.10%,4.00%,4.10%,FALSE
84,5/3/2018,262.26001,263.359985,259.049988,262.619995,237.722916,136311500,161,162.399994,159.220001,161.800003,155.295273,60337100,154.110001,154.5,152.160004,153.809998,142.235199,20985900,4.10%,4.00%,4.10%,FALSE
85,5/4/2018,261.519989,266.790009,261.149994,266.019989,240.800568,91222100,161.100006,165.25,160.979996,164.869995,158.241852,41543200,153.259995,156.5,152.800003,155.729996,144.010727,17927900,3.90%,4.00%,4.10%,TRUE
86,5/7/2018,266.890015,268.019989,266.109985,266.920013,241.615265,55304900,165.639999,166.779999,165.509995,166.240005,159.556747,32500200,156.190002,157.860001,156.100006,157.050003,145.231384,16303500,3.90%,4.00%,4.10%,FALSE
87,5/8/2018,266.5,267.329987,265.149994,266.920013,241.615265,67499200,165.889999,166.429993,164.860001,166.070007,159.393646,26040200,156.919998,157.830002,156.75,157.830002,145.952744,17281200,3.90%,4.00%,4.10%,FALSE
88,5/9/2018,267.679993,269.869995,267.089996,269.5,243.950684,59666100,166.369995,168,165.779999,167.880005,161.130814,29122700,158.009995,159.100006,157.380005,158.679993,146.738724,15758500,3.90%,4.00%,4.10%,FALSE
89,5/10/2018,270.339996,272.390015,270.220001,272.019989,246.231796,72063900,168.419998,169.740005,168.289993,169.619995,162.800888,27067600,158.899994,160.169998,158.759995,159.529999,147.52478,15828700,3.90%,4.00%,4.10%,FALSE
90,5/11/2018,272.160004,273.149994,271.579987,272.850006,246.983078,59871500,169.419998,169.860001,168.720001,169.460007,162.647278,24688800,159.550003,160.130005,159.039993,159.839996,147.811478,14413600,3.90%,4.00%,4.10%,FALSE
91,5/14/2018,273.339996,274.079987,272.359985,272.980011,247.100784,54790600,169.850006,170.820007,169.470001,169.75,162.925629,21821700,160.020004,160.690002,159.050003,159.229996,147.24736,15028500,3.90%,4.00%,4.10%,FALSE
92,5/15/2018,271.589996,271.609985,270.029999,271.100006,245.398941,87036100,168.410004,168.5,166.979996,167.869995,161.121231,49361600,158.710007,159.589996,158.169998,159.259995,147.275116,17544900,3.90%,4.00%,4.10%,FALSE
